12,Consumables,,,,,UNIT,CODE,,,
,,,,007,Envelope- A3,Pcs,12003001007,,,
,,,,008,A4 Conqueror paper,Pcs,12003001008,,,
,,,,009,Certificate paper A4,Pcs,12003001009,,,
,,,,010,Brown envelope,Pcs,12003001010,,,
,,,,,,,,,,
,,002,Pen,001,Ball pen (colored),Pcs,12003002001,,,
,,,,002,Pencil,Pcs,12003002002,,,
,,,,003,Marker pen (colored),Pcs,12003002003,,,
,,,,004,Hilighter pen (colored),Pcs,12003002004,,,
,,,,005,Correction pen,Pcs,12003002005,,,
,,,,006,Wax for Sealing,Pcs,12003002006,,,
,,,,007,Pen holder,Pcs,12003002007,,,
,,,,008,Signature pen,Pcs,12003002008,,,
,,,,,,,,,,
,,003,Toner and cartridge,001,Toner MX-60FT-BLACK for SHARP MX3550,Pcs,12003003001,,,
,,,,002,Toner MX-60FT-CAYAN for SHARP MX3550,Pcs,12003003002,,,
,,,,003,Toner MX-60FT-MAGENTA for SHARP MX3550,Pcs,12003003003,,,
,,,,004,Toner MX-60FT-YELLOW for SHARP MX3550,Pcs,12003003004,,,
,,,,005,Toner BIX HUB C284 E- BLACK for KONICA MINOLTA,Pcs,12003003005,,,
,,,,006,Toner BIX HUB C284 E -CYAN for KONICA MINOLTA,Pcs,12003003006,,,
,,,,007,Toner BIX HUB C284 E -YELLOW for KONICA MINOLTA,Pcs,12003003007,,,
,,,,008,Toner BIX HUB C284 E -MAGENTA  for KONICA MINOLTA,Pcs,12003003008,,,
,,,,009,Toner MFP M281 FDW -BLACK for HP COLOR LASER JET PRO,Pcs,12003003009,,,
,,,,010,Toner MFP M281 FDW - CYAN for HP COLOR LASER JET PRO,Pcs,12003003010,,,
,,,,011,Toner MFP M281 FDW - YELLOW for HP COLOR LASER JET PRO,Pcs,12003003011,,,
,,,,012,Toner MFP M281 FDW - MAGENTAfor HP COLOR LASER JET PRO,Pcs,12003003012,,,
,,,,013,Catridge MFP M277 N- BLACK for HP COLOR LASER JET PRO,Pcs,12003003013,,,
,,,,014,Catridge MFP M277 N - CYAN for HP COLOR LASER JET PRO,Pcs,12003003014,,,
,,,,015,Catridge MFP M277 N - YELLOW  for HP COLOR LASER JET PRO,Pcs,12003003015,,,
,,,,016,Catridge MFP M277 N - MAGENTA for HP COLOR LASER JET PRO,Pcs,12003003016,,,
,,,,017,Toner MFP M277 FDW -BLACK for HP COLOR LASER JET PRO,Pcs,12003003017,,,
,,,,018,Toner MFP M277 FDW - CYAN for HP COLOR LASER JET PRO,Pcs,12003003018,,,
,,,,019,Toner MFP M277 FDW - YELLOW for HP COLOR LASER JET PRO,Pcs,12003003019,,,
,,,,020,Toner MFP M277 FDW - MAGENTAfor HP COLOR LASER JET PRO,Pcs,12003003020,,,
,,,,021,Catridge for HP 4515 - BLACK,Pcs,12003003021,,,
,,,,022,Catridge for HP 4515 TRI Color,Pcs,12003003022,,,
,,,,023,Drum kit-BIX HUB C284 E -MAGENTA  for KONICA MINOLTA,Pcs,12003003023,,,
