014,Vest ,001,X-Small,0001,,Pcs,11014001001,,
,,002,Small,0002,,Pcs,11014002002,,
,,003,Medium,0003,,Pcs,11014003003,,
,,004,Large,0004,,Pcs,11014004004,,
,,005,XL,0005,,Pcs,11014005005,,
,,006,XXL,0006,,Pcs,11014006006,,
,,007,XXXL,0007,,Pcs,11014007007,,
,,008,Fabric vest-Ready made,0008,Fabric vest-Ready made- Medium,Pcs,11014008008,,
,,009,Fabric vest-Ready made-L,0009,Fabric vest-Ready made- Large,Pcs,11014008009,,Bin nisf
,,010,Fabric vest-Ready made-XL,0010,Fabric vest-Ready made- XL,Pcs,11014008010,,Bin nisf
,,011,Fabric vest-Ready made -Yellow-XL,0011,With card holder and pen holder,Pcs,11014008011,,safety
,,012,Fabric vest-Ready made -Blue-L,0012,With card holder and pen holder,Pcs,11014008012,,safety
,,013,Fabric vest-Ready made -Green-L,0013,With card holder and pen holder,Pcs,11014008013,,safety
,,014,,0014,,Pcs,11014008014,,
,,015,,0015,,Pcs,11014008015,,
,,016,,0016,,,,,
,,,,,,,,,
,,,,,,,,,
015,Shoes -Boots,001,36,0001,Shoes- Security,Pcs,11015001001,,1FM
,,002,37,0002,,Pcs,11015002002,,1FM
,(men),003,38,0003,,Pcs,11015003003,,1FM
,,004,39,0004,,Pcs,11015004004,,1FM
,,005,40,0005,,Pcs,11015005005,,1FM
,,006,41,0006,,Pcs,11015006006,,1FM
,,007,42,0007,,Pcs,11015007007,,1FM
,,008,43,0008,,Pcs,11015008008,,1FM
,,009,44,0009,,Pcs,11015009009,,1FM
,,010,45,0010,,Pcs,11015010010,,1FM
,,011,46,0011,,Pcs,11015011011,,1FM
,,012,47,0012,,Pcs,11015012012,,1FM
,,013,42,0013,Safety shoes black-42,Pcs,11015012013,,1FM
,,014,43,0014,Safety shoes black-43,Pcs,11015012014,,1FM
,,015,44,0015,Safety shoes black-44,Pcs,11015012015,,1FM
,,016,45,0016,Safety shoes black-45,Pcs,11015012016,,1FM
,,017,40,0017,Safety shoes black-40,Pcs,11015012017,,1FM
,,018,41,0018,Safety shoes black-41,Pcs,11015012018,,1FM
,,,,,,,,,
016,Shoes -Boots ,001,36,0001,,Pcs,11016001001,,1FM
,(Woman),002,38,0002,,Pcs,11016002002,,1FM
,,003,40,0003,,Pcs,11016003003,,1FM
,,004,41,0004,,Pcs,11016004004,,1FM
,,005,42,0005,,Pcs,11016001006,,1FM
,,006,43,0006,,Pcs,11016006006,,1FM
,,007,44,0007,,Pcs,11016007007,,1FM
,,008,45,0008,,Pcs,11016008008,,1FM
,,009,46,0009,,Pcs,11016009009,,1FM
,,010,47,0010,,Pcs,11016010010,,1FM
,,,,,,,,,
